CLASS,SENTENCES,SNO
N,فلسفہِ محبت کی تقریب ِرونمائی براہ راست نشر کیوں نہیں کی؟ ,713
N,بجلی کی نرخوں میں اضافہ ہم نے نہیں نگران حکومت نے کیا: خواجہ آصفتب وزیر بجلی مصدق تھے وہ اس بات پرمیاں ساب کوبہت پسندآئے آج وہ مشیرشریف ہیں ,714
N,BBC Urdu - ایشیا کا قدیم محمد ن سپورٹنگ کلب مشکلات میں ,715
P,"کے اہتمام علماء کا انوکا اجتماع جس میں سنی، شیعہ،بریلوی، دیوبند اور اہلحدیث تمام مکاتب فکرکے علماء 1 چھت کے نیچے جمع،1 جگہ باجماعت نمازکی ادائیگی ",716
N,عشق کے روگ مار دیتے ھیں ۔۔۔ ,717
N,یاسرٹھیک ھے ۔ذوالفقار کے پلے کچھ نہیں ۔ایجڈ بھی ھے ۔فاسٹ بالروں کاتواللہ ھی حافظ ھے ۔ ,718
P,مہدی روحانی آیی ایس او المصطفی یونٹ گمبہ سکردو کا34 واں صدر منتخب ,719
P,آیا نہ ہوگا اسطرح حسن و شباب ریت پر گلشن بتول کے تهے سارے گلاب ریت پر عشق میں کیا لٹائیے عشق میں کیا بچائیے آل نبی نے لکھا سارا نصاب ریت پر ,720
P,بس پڑوس ملک سے بھی جاننے والے کافی ہیں ۔ ,721
P,گلی گلی نگر نگر عمر عمر سیدنا عمر فاروق رضی اللہ تعالی عنہگلی گلی نگر نگر عمر عمر سیدنا عمر فاروق رضی اللہ تعالی عنہ ,722
P,"ﺩﺑﺌﯽ ﭨﯿﺴﭧ، ﭘﺎﮐﺴﺘﺎﻥ ﻧﮯ ﺁﺳﭩﺮﯾﻠﯿﺎ ﮐﻮ 436 ﺭﻧﺰ ﮐﺎ ﮨﺪﻑ ﺩﮮ ﺩﯾﺎ اسٹریلیا 39 رنز بنا نقصان کے ",723
P,لاہور: میرے ہسپتال میں غریبوں کا مفت علاج ہوگا۔ میرا ,724
P,یزید کی وکا لت نہ کیا کر حسینؑ نجات کا سفینہ ہے نظر آتاہے جس میں چہرہ کربلا تو بس اک آئینہ ہے ,725
P,امریکہ میں انگریز سنگر نے پاکستان کے حق اردو زبان میں گانا گا کر پاکستانیوں کے دل جیت لیے ,726
N,عمران نیازی اور ان کے روبوٹس کی ڈکشنری الگ کی جائے ۔ ان کی هر ٹرم کا معنی رائج ڈکشنریوں سے الگ هے ۔ ,727
P,ساڈے پینڈوواں دیاں مانواں شہر وچ آ کے وی اپنے پُرانے طریقے نئیں چھڈدیاں چھج نال گندم صاف کر کے پسوانی ,728
P,ہمارا یہ مطالبہ ائینی ہیں ۔۔ خالد مقبول صدیقی ,729
N,ڈانگ بردار پشتون انصافی کی وارننگ شاٹسکے باوجود جتنے بھی دھرنامکینوں سے بات ہوسکی وہ تمام افراد چندہ اکھٹاکرنے کو پر جوش مگر روزی کمانے سے بیزارتھے ,730
P,پهر بهائی مجهے DM میں بتا دیں میں جاننا چاہتا ہوں کون ہے وہ-- ,731
P,دعا ایسا خوبصورت عمل ہے جس میں مانگنے والا اپنی پریشانیاں اور مشکلات 1/3 ,732
P,ہاہاہاہانا کیا کرو نا یار اگلی دفعہ پھر کوشش کر لینا : ,733
N,ﻮﮔﻮﮞ ﺳﮯ ﺩﮬﺮﻧﮯ ﮐﮯ ﻟﯿﮯ ﭼﻨﺪﮦ ﻣﺎﻧﮕﻨﮯ ﻭﺍﻻ ﺍﭘﻨﺎ 300 ﮐﻨﺎﻝ ﮐﺎ ﺑﻨﯽﮔﺎﻟﮧ ﮐﺎ ﮔﮭﺮ ﮐﯿﻮﮞ ﻧﮩﯿﮟ ﭘﯿﺞ ﮐﺮ ﺩﮬﺮﻧﮯ ﮐﮯ ﺧﺮﭼﮯ ﭘﻮﺭﮮ ﮐﺮﺗﺎ؟؟ ,734
N,ڈیزل ڈیزل کردی وے میں آپے ڈیزل ہوئ۔ سدو وے مینوں ڈیزل خان عمران نہ آکھے کوئ ,735
N,لفافہ ھے بڑی چیز جہان تگ و دو میں پہناتا ھے بے شرم کو تاج سر دارااقبال سے معذرت کے ساتھ ,736
P,رسول اللہ نے فرمایا:تم سے پہلی امتوں میں کچھ ایسے لوگ تھے جن سے فرشتے باتيں كرتے تهے اگر میری امت میں کوئی ہوتاتووہ عمرہوتے ,737
N,اس کے بچوں کی تعداد دو ھے یا چار صرف یه بتادو اور اسے کھو زکوات کھانی بند کردے اور ٹیسٹ کرواکے بتاؤ که عمران نشئی تو نھیں ,738
N,ﻓﻀﺎ ﺳﮯ ﮔﺮﺍﯾﺎ ﮔﯿﺎ ﺍﻣﺮﯾﮑﯽ ﺍﺳﻠﺤﮧ ﺩﻭﻟﺖﺍﺳﻼﻣﯿﮧ ﮐﮯ ﮨﺎﺗﮫ ﻟﮓ ﮔﯿﺎ: ﺭﭘﻮﺭﭦ ,739
P,ملول تھا دل آئینہ ہر اک خراش کے بعدجو پاش پاش ہوا اک خراش بھی نہ رہی ,740
P,سپریم کورٹ نے حلقہ پی پی تین سو بتیس بورے والا سے رکن پنجاب اسمبلی یوسف کیسال کی رکنیت بحال کر دی۔ ,741
N,ﻃﺎﺭﻕ ﺑﻦ ﺯﯾﺎﺩ ﺍﮔﺮ ﺁﺝ ﺯﻧﺪﮦ ﮨﻮﺗﮯ ﺗﻮ ﻋﻤﺮﺍﻥ ﺧﺎﻥ ﮐﻮ ﺍﺗﻨﺎﺿﺮﻭﺭ ﮐﮩﺘﮯ ﮐﮧ ﺑﯿﭩﺎ ﮐﺸﺘﯿﺎﮞ ﺟﻼﻧﮯ ﻣﯿﮟ ﺍﻭﺭﻟﮍﮐﯿﺎﮞﻧﭽﺎﻧﮯ ﻣﯿﮟ ﺑﮩﺖ ﺑﮍﺍ ﻓﺮﻕ ﮨﮯ ,742
N,طارق بن زیاد اگر آج زندہ ہوتے تو عمران خان کو اتنا ضرور کہتے کہ بیٹا کشتیاں جلانے میں اورلڑکیاں نچانے میں بہت بڑا۔۔۔ ,743
N,ملک میں جاری سیاسی صورتحال کے نتیجے میں کراچی اسٹاک ایکس چینج میں کاروباری ہفتے کے دوران ا۔۔۔ ,744
P,لاہور:ملاقات میں وفاقی اورصوبائی کابینہ میں ممکنہ ردوبدل پرتبادلہ خیال ,745
N,پیپلز پارٹی کی جانب سے الطاف حسین کے خلاف تضحیک آمیز رویہ اپنایا گیا۔ مزید پڑھئے : ,746
N,خودکشی حرام هے ۔توبه توبه ,747
P,نہیں کوئ امکان ملنے کا تم سے :: مگر بات کرنے کو جی چاہتا ھے : ,748
P,بات میں وزن هے ,749
N,وہ اکثر مجھ سے کہتی تھی وہ اکثر مجھ سے کہتی تھیوفا ہے ذات عورت کی یہ جو مرد ہوتے ہیں بڑے ہی بے درد ہو تے ہیں ۔۔۔ ,750
N,"""انقلاب"" نامی کیڑا سب سے زیادہ بر صغیر میں پایا جاتا ہے ۔ دنیا بھر میں جو انقلاب آئے زیادہ تر انقلابوں کا کیڑا۔۔۔ ",751
P,لالے کی جان جب کشکول ہاتھ میں ہو تو اسے خلیفہ نہیں کہیں گے ہی کہیں گے نا ,752
P,ملک سے لسانیت اور عصبیت کے خاتمے کے لیے ضروری ہے کہ نئے صوبوں کی تقسیم نسل یا لسان کی بنیاد پر نہ بلکہ اسے انتظامی بنیادوں پر تقسیم کیاجائے ۔ ,753
N,ہاشم ویلفیئر سوسائٹی ( رجسٹرڈ ) پنڈی ہاشم کی ایدھی سنٹر کراچی میں ڈکیتی کی دلیرانہ ,754
N,": حکومت سیاسی قائدین کوتحفظ دینے میں ناکام ہوچکی ہے ،شیریں مزاری ",755
P,فلمی ستارے تو ان علماے ؑ کرام کی دینی خدمات اور شخصیت سے متاثر ہو کر از خود کھنچے چلے آتے ہیں ۔ ,756
P,قائد انقلاب ڈاکٹر محمد طاہر القادری نے محاذ بدلا ہے منزل نہیں ۔ ,757
N,ﻣﯿﺮﺍ ﺭﺭﻟﭧ ﺩﯾﮑﮫ ﮐﺮ ﻣﯿﺮﮮ ﺍﺑﻮ ﻧﮯﺻﺮﻑ ﺍﺗﻨﺎ ﮨﯽ ﮐﮩﺎﻓﺮﺍﺯﺑﮓ ﺑﻮﺱ ﭼﺎﮨﺘﮯ ﮨﯿﮟ ﮐﮧ ﺁﭖ ﺍﺱ ﮔﮭﺮﺳﮯ ﺍﺑﮭﯽ ﺍﻭﺭ ﺍﺳﯽ ﻭﻗﺖ ﺩﻓﻌﮧﮨﻮﺟﺎﺋﯿﮟ :DVia ,758
P,-پنج پیر اجتماع براہ راست دیکھنے کیلے اور تصویری جھلکیوں کیلے فیس بک کاوزٹ کریں ۔ ,759
N,"بنگلہ دیش کی بڑی سیاسی پارٹی، جماعت اسلامی کے سابق سربراہ، غلام اعظم انتقال کر گئے ہیں ",760
P,کیا کسی نے اس بات پر توجه دی که ذی الحج کا مھینه کتنے دن کا تھا پاکستان میں ۔۔۔امید ھے کسی نے تکلیف نھیں کی ھوگی۔۔ ,761
N,اوئے ے ے ے ڈڈو پھر آ گیا تو ھمارے گھر لڑائی پڑوانے ,762
P,RT شیری مزاری نے پاکستان میں تیل کی کھداٴں ی سے پہلے ناگن ڈانس کیا کریں گی چندے سے انقلاب ,763
N,ڈاکٹر طاہر القادری کی جانب سے دھرنا اچانک ختم کرنے کا اعلان کیوں کیا گیا ؟ اندرکی کہانی!!تفصیل لنک میں ۔۔۔ ,764
P,وھ تہی دست بھی کیا خوب کہانی گر تھاباتوں باتوں میں مجھے چاند بھی لا دیتا تھا ,765
N,خیبر ایجنسی:باڑہ سپاہ میں شدت پسندوں کے ٹھکانوں پر ہیلی کاپٹرز کی شیلنگ ,766
P,بریکنگ نیوز ٹویٹر پر زیادہ جلن کے بعد جیالے پٹواریوں کا غیر آئینی قبضہ رایوینڈ اور بلاول ہاؤس میں مٹھائیاں تقسیم ,767
P,چلو مہاجر چلتے رہو اب دکھہ ہو ں ختم اب پھلتے رہو اب کليم الطافی ,768
P,ڈاکٹر طاہر القادری کی جانب سے دھرنا اچانک ختم کرنے کا اعلان کیوں کیا گیا ؟ اندرکی کہانی!!تفصیل لنک میں ۔۔۔ ,769
P,پھر پٹواری پوچھتے ہیں کہ دھرنوں کا عوام کو کیا فائدہ پہنچ رہا ہے ,770
P,"دہشتگردی میں جاں بحق گریڈ 17 کیلیے 50 لاکھ، گریڈ 18، 19 کو 90 لاکھ روپے امداد ملے گی- وزیر اعظم میاں محمد نواز شریف ",771
N,ہر ویلے انکار بچپن دے اساں یار اے گللاں چنگیاں تے نہیں -تمام ہندکو یا پوٹھوہاری سمجھنے والوں کے لیے خاص۔۔۔ ,772
N,ویسے تو زندگی موت اللہ کے ہاتھ میں هے لیکن بلٹ پروف گاڑی کو داد نہ دینا بهی زیادتی ہوگی۔آج یہودیوں کی بنائی ہوئی۔۔۔ ,773
N,بے شرم لوگ! ان کے نام کون رکھتا ہے ,774
N,ہاں ۔۔۔اج کچھ پرابلم ہے ٹیوٹر میں ۔۔۔۔ٹھیک سے اپڈیٹ نہیں ھورہا۔ٹیوٹر کچھ کرو۔۔ ,775
N,حکمران سے اچھائی کی توقع بے سود جو اپنوں کو نواز تے رہیں گے اور غریب عوام جائے بھاڑ میں ان کی بلا سے N,776
P,"اللہ رب العزت کا ذکر کیجیے اور سکونِ قلب حاصل کیجیے سبحان الله ،الحمد لله ،الله أكبر،لااله الا الله ،لاحول ولاقوة الا بالله ",777
P,"سیکیورٹی خدشہ،عمران خان کے کنٹینر کے پیچھے 2 کنٹینر رکھ دیئے ",778
P,تے چاچے قادری نوُں ؟ایویں ای چھڈ دینا اے ؟ ,779
P,انقلاب میں پھٹے هوئے نوٹ بھی بطور چنده چل جائیں گے ۔۔۔چندے سے انقلاب ,780
N,خواجہ سرا آصف شرم کرو ,781
N,قادری اور عمران کا دھرنا چٹخارے دار چاٹ مصالحہ مکس ,782
N,بات بات پر قسمیں کھا کر جھوٹ بولنے والا حوس اقتدار کا مارا ہوا لیڈر۔۔۔۔ ,783
N,پاکستانی کرکٹ ٹیم نے آج آسٹریلیا کے ساتھ وہ کیا ہے جو آفریدی سو میچوں کے بعد کسی ایک میچ میں کرتا ہے ,784
P,چندے سے انقلاب لانے والی سوچ کو سات توپوں کی سلامی ۔۔۔ ,785
N,عابدشُرلی وہ شرُلی ہے جو دھماکہ کم کرتی ہے بدبُو زیادہ پھیلاتی ہے ,786
P,"لاہور: دھرنوں اورجلسوں نے قوم میں آگاہی اور شعور پیدا کیا،چودھری پرویز الہٰی"" ",787
P,"علاقے کی ہر دل عزیز ،معروف شخصیت ",788
P,"گہرے ہلکے ، ہلکے گہرے چھاے شام کے ساے ۔۔دھیرے دھیرے ، ہولے ہولے دل کی دھڑکن گاے ۔۔پروا سنگ سنگ، گونجے بن بن ،کوئل۔۔۔ ",789
P,کچھ ایسی بات محرم کا چاند کہتا ہے کہ سال بھر مِرا دِل کربلا میں رہتا ہے ! ,790
N,جو درد دل لوگ اور دھرنے میں شامل ھونے کی تمنا رکھنے والے دوست دھرنے ختم ھونے پر افسرد ہ ھیں اور اپنی بساط کے ۔۔۔ ,791
P,پاکستان مسلم لیگ ن روشن پاکستان کا نشان ,792
N,حالات کے مطابق فیصلے لینا پڑتے ہیں ۔ عوامی تحریک سرمایا داروں کی جماعت نہیں کے صرف اپنی انا کی خاطر اتنے ریسورسز۔۔۔ ,793
P,:منوں ڈیزل تھوڑا پوا دے نچاں میں ساری رات میری ٹنکی فل کرا دے نچاں میں ساری رات ,794
P,بسم اللہ الرحمن الرحیم السلام علیکم : آج جمعہ مبارک ہے =28 ذوالحج= 143524 اکتوبر = 201410 کاتک = 2071مطیع اللہ راشد ,795
P,خوبصورت نظم تمہیں یاروں مبارک ہو عمرابن خطاب آیا خدا سے میں نے مانگا تھا دعاؤں کا جواب آیا سیدنا عمر فاروق رضی اللہ تعالی عنہ ,796
N,"اب پانی سر سے اونچا ہوچکا ہے ،اب بات ناقابل واپسی تک جا پہنچی ہے ،فاروق ستار ",797
P,سندھ میں پیپلز پارٹی کی شان دار کارکردگی۔۔ کب ہمیں زندہ لوگوں کا احساس ہو گا ,798
P,"آج آپکو یہ راز بھی بتائے دیتی ھوں ، ڈی-چوک میں ایک انقلابی بابا جن والے بھی موجود تھے ۔۔۔۔اور ہمارا میڈیا لاعلم ہی رہااس ڈرامہ سے ۔ ",799
N,خورشید شاہ کے توہین رسالت و توہین صحابہ کا مرتکب ہونے پر تھانہ سکھیکی منڈی ضلع حافظ آبادمیں درخواست جمع ,800
P,ویسے مشن تو دونوں کا ایک ہی ہے ۔۔مینوں نوٹ ویکھا میرا موڈ بنے ۔۔کھان قادری۔ ,801
N,ڈاکٹر طاہر القادری کا دھرنے کیلیے فنڈز جمع کرنے کیلیے بیرون ملک جانے کا فیصلہ اور عمران خان کی بھی دھرنے کیلیے عوام سے فنڈ دینے کی اپیل ,802
P,خدمت کے جذبہ کے ساتھمل کر کام کریں گے انشاء اللہ آج بھی همارا هے اور کل بھیهمارا هے انشاء اللہ۔ ,803
P,"مُجھے کر عطا اے میرے اللہ، توُ بہت بندہ نواز ہے ۔ ۔ ۔میری ہر صبح محتاج ہے تیری رحمتوں کے نزول کی ۔ ۔ ۔دعاء پینڈو ",804
P,"آفریدی کی زیر قیادت آئی ڈی پیز ،پاک فوج کے درمیان نمائشی میچ جاری ہے ",805
P,"پاکستان 231 سکور ایک وکٹ کے نقصان پر پاکستان کو 382 رنز کی مجموعی برتری،احمد شہزاد 128 اوریونس خان 67 پر ناٹ آؤٹ ",806
N,درست کہا غصہ ہوش گنوا دیتا ہے ,807
P,"قومی اسمبلی: دوہری شہریت والوں کو الیکشن لڑنے کی اجازت کا بل پیش، جنوبی پنجاب کو الگ صوبہ بنانے کا مسترد ",808
N,سندھ کے بعد ایم کیو ایم آزاد کشمیر حکومت سے بھی الگ ہو گئیوقت آ گیا ہے کہ ایم کیو ایم برطانوی حکومت سے بھی الگ ہونے کا اعلان کردے ,809
N,"لاہور میٹرو بس 2013 میں آمدن 90 کروڑ روپے ،اخراجات 2ارب 55 کروڑ روپے ،نقصان 1 ارب 65 کروڑ روپے ۔حکومتی اعدادوشمار ",810
P,اپنے آپ کو سزا ملے تب احساس ھوتا ھے اب بھی وقت ھے مبشر اپنے گناھوں کی قوم سے اور الله سے معافی مانگے ,811
N,افسوس۔۔۔۔۔۔ ہمارا معاشرھ اسی بحث میں الجھا ھے ۔۔۔۔ ویسے بتادوں کہ کوئی ایڈوانٹیج نہیں تھا خاتون ھونے کا۔ ,812
P,"پشاور: پولیو مہم،7 لاکھ سے زائد بچوں کو پولیو قطرے پلائے گئے : پشاور۔۔۔۔۔۔پشاور میں پولیو مہم۔۔۔ ",813
P,چندہ دو تبدیلی لاؤں چندہ دو تبدیلی لاؤں چندے سے انقلاب ,814
P,سات سمندر پار میں تیرے پیچھے پیچھے آگیا ,815
P,"آپ کو نہیں پتا تازہ ترین قرآنی تحقیق سے پتہ چلا ہے کہ اللہ مخلوق نہیں خالق ہے ، اس کا وجود اسے اس کے تخت پر۔۔۔ ",816
P,لاہور: ایبولا وائرس سے نمٹنے کے لئے پنجاب میں تیاریاں شروع۔ ,817
P,دو امریکی ڈانسرز کا بلند عمارت سے لٹک کر رقص ,818
N,"دو عہدوں کا معاملہ،معین خان اور پی سی بی کے درمیان سرد جنگ ",819
P,بسم اللہ الرحمن الرحیم السلام علیکم:آج بدھ ہے =26 ذوالحج = 143522 اکتوبر = 201408 کاتک = 2071مطیع اللہ راشد ,820
N,مٹھی میں غذائی قلت سے 2 بچے جاں بحق ہو گئے ۔ مزید پڑھئے : ,821
P,ٹهیک ہے آپ ناچیں ,822
N,"سرزمین شام ۔۔۔وہ ولولے آج ابن ِ قاسم کے کیا فسانوں میں کھوگے ھیں ،نبی ﷺ کی امّت کے تن سے رستا ہوا یہ خون تم سے پوچھتا ہے ۔۔۔ ",823
N,ﻻﮨﻮﺭ:ﺿﻠﻌﯽ ﺍﻧﺘﻈﺎﻣﯿﮧ ﮐﺎ ﺭﻧﮓ ﺭﻭﮈ ﺑﺎﺩﺍﻣﯽ ﺑﺎﻍ ﮐﮯ ﻗﺮﯾﺐ ﭼﮭﺎﭘﺎ ﻓﺮﻭﺧﺖ ﮨﻮﻧﯿﻮﺍﻟﮯﮔﻮﺷﺖ ﻣﯿﮟ ﻣﺮﺩﮦ ﮔﮭﻮﮌﮮ ﺍﻭﺭﮔﺪﮬﮯ ﮐﺎ ﮔﻮﺷﺖ ﺑﮭﯽ ﺷﺎﻣﻞ ,824
P,"بعض دفعہ اللہ کی طرف سے کسی شخص کا پیغام، بول یا ٹویٹ آپ کے اندرونی تذبذب کو رفع کر دیتا ہے عین اسوقت جب آپ اس خلجان میں مبتلا ہوتے ہیں ۔ ",825
N,میرپورخاص سیال کالونی میں معمولی تنازع پر فائرنگ نوجوان امتیاز ناریجو جانبحق ہوگیا ,826
N,کتے ہماری خواہشیں گلی میں پھر نے والے کتوں کی طرح ہیں کہ جن سے ڈر کر بھاگو تو پیچھے پڑ جاتے ہیں ۔۔۔بھونک بھونک۔۔۔ ,827
N,ذہنی غلام اور کسے کہتے هیں ؟؟؟ ,828
P,آقا علیہ السلام کا مکہ میں رہ کر دعوت دینا بھی حکمت عملی تھی اور مدینہ کی طرف ہجرت کر جانا بھی ,829
N,کشمیری 68 برسوں سے بھارتی فوج کے مظالم برداشت کررہے ہیں لیکن انکے جذبہ حریت میں کمزوری نہیں آئی۔ حافظ محمد سعید ,830
P,ان الله مع الصابرین گیدڑ کی 100 سال کی زندگی سے شیر کی 1 دن کی زندگی بہتر ہے ,831
N,"پیپلز پارٹی اپنے رویے کے باعث ایک صوبے کی جماعت بن گئی ہے ،فاروق ستار"" ",832
N,"سعودیہ عرب میں ٹریفک حادثہ، 2 پاکستانی جاں بحق ہوگئے ",833
N,"مزیدار کھانا کھانے کے بعد اس نے بل منگوایا، پیسے نکالنے کیلئے جیب میں ہاتھ ڈالا، بٹوا نہ پا کر نادیدہ خوف سے اس۔۔۔ ",834
P,عمران خان ان لوگوں کو سیاست میں لے آئے ہیں جن کیلئے سیاست ایک گالی تھی۔ عمران خان کی پنجاب میں مقبولیت بہت بڑھی۔۔۔ ,835
N,’جنگی ساز و سامان پر قبضے کی ویڈیو کی تحقیقات‘: امریکہ کے محکمۂ دفاع نے کہا ہے کہ وہ دولتِ اسل۔۔۔ ,836
P,وزیر اعظم کے استعفیٰ تک دھرنا ختم نہیں کروں گا۔ عمران مزید پڑھیئے ۔۔۔ ,837
P,"+ آسٹریلیا، انڈیا اور دوسرے ملکوں میں بیٹھ کر۔۔ روز کوئی نہ کوئی شوشہ چھوڑ دیتا ہوں ۔۔ اس ملک کو بہت محنت کی ضرورت ہے ۔۔ ",838
N,لاہور ہائی کورٹ نے سماعت کے دوران اے آر واے نیو کے پروگرام ’کھرا سچ کو پروگرام بند کرنے اور میزبان مبشر لقمان پرپابندی عائد کرنے کا حکم دیا N,839
P,"خواجہ صاحب ! بارش آ گئئ،ساڈے لائق کوئئ ہور حکم؟؟ ",840
P,جمال و حسنِ قرآں نورِ جانِ ہر مسلماں ہے قمر ہے چاند اوروں کا ہمارا چاند قرآں ہے ,841
P,سب کچھ راؤ نے ہی بتانا ہے تو اپ صرف چسکا لینے ائے تھے ؟: ,842
P,نظریہ شخصیات سے بہت بڑا ہو تا ہے ۔ کامیابی انشاالہ قریب ہے ۔ ہمیں بس ایک دوسرے کی ضرورت ہے جو ایک نظریے پر اکھٹے ہوں متحد ہوں اور ہم ہیں ۔ ,843
P,محترم نواز شریف اور نون لیگ سے ایک سادہ سوال ,844
P,چل ٹھیک ہے ,845
P,ایڈا توں مڑیکا دا صدرمیں آپ مصروف ھو نہہ ,846
N,گلی گلی میں شور ہے عمران خان ڈیزل چور ہے چندے سے انقلاب ,847
P,عشق میں خواب کا ' خیال کِسے !!نہ لگی آنکھ ' جب سے آنکھ لگی نیند آ رہی ہے ,848
P,جی بلکل کرپش سے انقلاب آتے هین ,849
N,دوستو تنقید کرنے سے پہلے یہ تو سوچیں کہ اگر دهرنہ ختم هو گیا هے تو پهر ان دهرنوں کا اعلان کیوں ۔ حقیقت میں دهرنہ۔۔۔ ,850
P,کامران شفیع کا کہنا تھا کہ پاکستان میں پانچ لاکھ سے زائد افراد آن لائن کام کرکے پاکستان کے زر مبادلہ میں اضافے کا سبب بن رہے ہیں ,851
N,"کابل ‘مسجد میں ریپ کرنے والے امام کو 20 سال قیدکی سزاسنادی گئی ، روزنامہ اُردو پوائنٹ ",852
P,دوسرے اضلاع سے آنے والے ٹریفک وارڈنز اور افسران اپنے وائرلیس سیٹ اور گاڑیاں بھی ساتھ لائیں گے ۔ ,853
P,"ﻻﮨﻮﺭ: ﻣﺤﺮﻡ ﺍﻟﺤﺮﺍﻡ ﮐﮯ ﺍﺣﺘﺮﺍﻡ ﻣﯿﮟ ﺩﮬﺮﻧﺎ ﺧﺘﻢ ﮐﯿﺎ ﮔﯿﺎ،ﺟﻠﺴﻮﮞ ﮐﺎ ﺳﻠﺴﻠﮧ ﺟﺎﺭﯼ ﮨﮯ،ﭼﻮﺩﮬﺮﯼ ﭘﺮﻭﯾﺰ ﺍﻟﮩٰﯽ ",854
P,سر جی۔ یہ عقل و دانش کا سمندر ھم ڈنمارک یا فرانس کو برآمد کر دیتے ہیں ۔وہ بیچارے بھی اس سے مستفید ہو سکے ۔ڈیموکریسی زندہ باد ,855
N,بنگلہ دیش اپنے ہی کھلاڑی کیخلاف عالمی عدالت میں ,856
N,مریم نواز نے کہا کہ استعفی مانگنے والے اب چندہ مانگ رہے ہیں ۔واقعی اگر عمران نے بھی نواز کی طرح منی لانڈرنگ کی ہوتی تو چندہ نہ مانگ رہا ہوتا ,857
P,موبائل پر کراچی کی فری نیوز حاصل کرنے کے لئے میسج میں ٹائپ کریں اور بھیج دیں 40404 پر بغیر کسی چارجز کے ,858
N,نھی ان کو شرم نھی آتی کیونکه انھوں نے شرم بیچ کھائ ھے ,859
N,کچه اور چیز هے شاید تیری مسلمانیتیری نگاه میں هے ایک فقیر و رهبانیسکوں پرستی راهب سے فقیر هے بیزارفقیر کا هے سفینه همیشہ طوفانی ,860
P,شاباش اچھی تربیت ہے اس طرح کی زبان اپنے گھر بھی استعمال کریں کافی فائدہ ہو گا اگر فائدہ نا ہوا تو افاقہ ضرور ہوگا ,861
P,حضرت عائشہ نے فرمایا اپنی محفلوں کو عمر کے تذکروں سے آباد کرو کیوں کہ جہاں عمر کا ذکر ہوگا وہاں عدل کا ذکر ہوگا ,862
N,"پانی سرسے گزرچکاہے ،فیصلہ تبدیل ہونے کا امکان نہیں ،فاروق ستار ",863
P,کپتان نے سیاست میں ڈالی نئی روایت۔۔۔۔!!! ,864
N,"ملک میں بحث چل رہی ہے ، کہ نئے انتظامی یونٹس کا قیام ہو یا نہ ہو؟جو لوگ اس تقسیم کے خلاف ہیں ، ان کے پاس کوئی معقول جواز نہیں ۔بس گاالیاں ہیں N",865
P,اداکارہ سدرہ نور بھی رشتہ ازدواج میں منسلک ہوگئیں ,866
P,ڈسکے جاؤ ناچے جاؤ ,867
N,اب تو بس اس آواز کو سننے کے لئے کان ترس رہے ہیں اوووووووووووئے قادری !!!!!! ذلیل کرا گئے نا ,868
N,"استعفیٰ دوتحریک اب استعفیٰ لواورچندہ دوتحریک میں بدل گئی،مریم نواز کاٹویٹ ",869
P,چلو کوئ نہیں پٹوارہوں سے خود تو کچھ ہوتا نہیں ۔۔۔ ہماری وجہ سے تھوڑی دیر خوش ہونے دو ,870
N,زندگیقدم گھسیٹ گھسیٹ کے چل رہی تھی اور دن لمبے ہوتے جارہے تھے ۔ ایک دن ایک سال کے برابر۔ ایک گھنٹا…ایک دن جتنا۔۔۔۔ ,871
P,اجیاکلکم واوا اے اودر تیان مارن لگا واں ,872
P,میں آپکی بات سے اتفاق کرتا ہوں ۔لیکن میں سب کی رائے لینا اور سننا پسند کرتا ہوں ۔ ایک عادی بھائی ہیں کبھی کام کی بات نئ کی پ؟؟ سنتا ,873
N,واہ او غریبوں واہ او مصیبتوں ,874
P,مجیب الرحمن شامی کا پروفیسر غلام اعظم کے لئے نذرانہ ,875
P,قرب کے نہ وفا کے ہوتے ہیں سارے جھگڑے انا کے ہوتے ہیں بات ہوتی ہے صرف نیت کی وقت سارے دُعا کے ہوتے ہیں بھول۔۔۔ ,876
P,آئی ڈی پیز کیلئے کھیلا جانیوالا امدادی میچ آفریدی الیون نے جیت لیا ,877
N,آپ کو ہماری بدعا ہے آپ دنیا اور آخرت میں ذلیل و رسوا ہونگے ,878
N,مرسو مرسو ۔۔۔ بھوکے مرسو ۔۔۔ مرو مرو ۔۔۔ بھوکے مرو ,879
P,نہ ہی پوچھیں تو اچھا ہے ,880
P,ٹین ایجر تو بچے ھوتے ,881
N,ساتھ مل کے ہنسے گا مگر جب آپ رونا چاہو گے تو آپ کو دلاسہ دینے والے تو مل جائں گے مگر آپ کے ساتھ رونے والا کوئی۔۔۔ ,882
P,"-اسلام آباد: طاہر القادری کا دھرنا چھوڑنے اور سیاست کرنے کو خوش آمدید کہتے ہیں ،رحمان ملک ",883
N,چندے سے انقلاب اور تھُک میں پکوڑے تلنا ,884
N,اور اضافی لوڈ شیڈنگ پر کس کو ذمہ دار ٹھیرایا جائے ؟ ,885
N,سیاسی جماعتیں تو چندے پر ہی چلتی ہیں البتہ فیملی لمیٹیڈ کمپنی کے غلام اس احساس و شعور سے عاری ہیں ۔ غلام جو ٹھہرے ,886
N,آج ملک بھر میں یوم عدل بسلسلہ یوم شہادت سیدنا فاروق اعظم ر۔ض مذہبی عقیدت سے منایا جائے گا۔ ,887
